ID,bug_type,species,area_ratio,mask_pixels,total_pixels,roundness,ellipse_fit_quality,vertical_symmetry,horizontal_symmetry,min_R,max_R,mean_R,std_R,med_R,min_G,max_G,mean_G,std_G,med_G,min_B,max_B,mean_B,std_B,med_B,lbp_0,lbp_1,lbp_2,lbp_3,lbp_4,lbp_5,lbp_6,lbp_7,lbp_8,lbp_9,edge_density
225,Other,Macroglossum stellatarum,0.032730125,785523,24000000,0.17276978180514063,0.5839615276940816,0.21906683315938572,0.30717451076068364,15,240,106.04824683682082,35.34583617453668,106.0,8,236,87.06307517411966,39.81264192075397,86.0,0,246,74.34414141915641,42.34972837986179,69.0,0.02071995345775999,0.04825829415561352,0.02959429577491684,0.13248625438083927,0.1733189225522359,0.2090008822147792,0.0941016367439273,0.07712186657806328,0.12399382322350841,0.09140407091835631,0.140614596899136
226,Bumblebee,Bombus hortorum,0.02533125,607950,24000000,0.24753932101231838,0.767734233081096,0.546541237283867,0.4729540487762331,1,255,86.69796529319845,62.36405649121738,80.0,0,255,83.51525947857554,64.12619146271014,72.0,0,255,68.93429393864626,59.70833015612799,53.0,0.014705156674068591,0.030101159634838393,0.027989143844066124,0.13783205855744715,0.23971214738054117,0.22112509252405627,0.0694793979768073,0.060210543630232746,0.1446780162842339,0.05416728349370836,0.31624146722592317
227,Bumblebee,Bombus hortorum,0.029271,702504,24000000,0.22227330254806926,0.733830270153353,0.5403796438618688,0.5957948489625688,3,255,85.493191497842,60.75422095534657,72.0,0,253,71.5519712343275,58.1498839256037,54.0,0,255,67.54166951362555,55.42551823428311,55.0,0.019443305660893036,0.04075848678441689,0.037753521688132737,0.15149949324131962,0.24689112090464965,0.20084298452393154,0.07988139569312061,0.05839397355744594,0.09375747326705614,0.07077824467903386,0.38472948196736245
228,Bumblebee,Bombus hortorum,0.0130305,312732,24000000,0.3892540601476141,0.750696440476575,0.5505116611137554,0.5720942858435506,2,255,91.38113784326517,66.08754629695328,97.0,1,255,77.06552575368046,61.519545210685585,72.0,0,255,79.05438842203549,71.49688533047811,66.0,0.014651522709540437,0.03052453858255631,0.02586559738050471,0.13362239873118198,0.2363109627412609,0.20636519447961832,0.05898980596804932,0.06278538812785388,0.17882404103193789,0.05206055024749626,0.31935331210109613
229,Bee,Apis mellifera,0.026777,642648,24000000,0.23813412529921768,0.7199855015102177,0.4176225602654149,0.4807239393149519,0,255,100.58214917030786,43.770448303829205,97.0,0,250,80.20718807185271,38.25326483661868,83.0,0,236,54.82701261032478,31.026762874813027,51.0,0.02400380923927251,0.046154348881502785,0.037031158581369586,0.13366726419439567,0.18057941516973522,0.20092181100695872,0.09789807172822447,0.07321581954662583,0.11595616885137743,0.09057213280053777,0.1883426074616275
230,Bumblebee,Bombus hortorum,0.026699625,640791,24000000,0.23890345598338666,0.8150432448593711,0.7140183963678417,0.48437080140470523,2,234,83.8001314000977,56.36727695892045,76.0,1,223,73.2385036618804,52.23670586791476,63.0,0,255,77.43605637407516,61.88331792029773,58.0,0.018633220504033297,0.03998651666455989,0.03729141014777049,0.15125524547005187,0.23905142238264895,0.2071408618410683,0.08243561473241666,0.05922992052010718,0.09473291603658603,0.07024287170075734,0.34742685212495183
231,Bee,Apis mellifera,0.017302416666666667,415258,24000000,0.4649093249320578,0.897114911998265,0.5551277970227507,0.6114633862392798,14,255,148.1031118003747,48.96924572875449,154.0,7,242,124.11433614764796,46.144169182798585,126.0,8,255,121.5345809111444,58.618048341468665,113.0,0.024738837060333575,0.046053296986451796,0.045600566394867766,0.1454661921022593,0.23150908591767047,0.19395171194775296,0.09814621271595009,0.057677395739516156,0.06904141521656416,0.08781528591863372,0.26063796483150237
232,Bee,Apis mellifera,0.008178208333333332,196277,24000000,0.41287271484868965,0.8699413858544071,0.7450877536141686,0.7273343307225204,17,255,149.51025336641584,45.59258729260682,157.0,10,255,128.509045889228,45.699162713776026,138.0,4,255,115.63683977236253,43.149168252282095,119.0,0.03157272630007591,0.04594017638337655,0.04883914060231204,0.13961900783076978,0.2560106380268702,0.17872700316389592,0.0872389531121833,0.058916735022442775,0.06551964825221498,0.08761597130585856,0.45189196900299067
233,Bee,Trachusa byssina ,0.0129755,311412,24000000,0.267248522767498,0.7458524351234503,0.5345406164535442,0.4797036373938756,4,250,102.01143822331831,46.67989088401064,116.0,3,235,93.91405276611049,44.532821296517156,107.0,2,233,83.52421871989519,37.24256695383008,86.0,0.023268210602032036,0.047252514353974796,0.03486699292255918,0.13460303392290598,0.21650096977637343,0.19762886465518348,0.08269430850448924,0.06720999833018637,0.10936636995363055,0.08660873697866492,0.31182806057570034
234,Other,Macroglossum stellatarum,0.03939170833333333,945401,24000000,0.16867973274314343,0.5051239268547081,0.3899253978462657,0.47532185827312307,7,255,121.85413279655934,55.30810218421019,123.0,8,249,112.36626785882393,46.374749547695885,120.0,4,255,93.6615647751589,40.507788826028985,92.0,0.029641390267198788,0.050717103112858986,0.04278078825810423,0.13374959408758824,0.1882375838400848,0.1881540214152513,0.09248139149419135,0.06956095878891602,0.10761888341560882,0.09705828532019746,0.2696622914509293
235,Bee,Thyreus,0.007349916666666667,176398,24000000,0.2086829578667297,0.45917759893720955,0.581307789768796,0.25414537639305995,2,255,83.38800893434166,53.315627175057486,82.0,0,255,80.8505595301534,54.2113083091733,75.0,1,255,71.85426705518204,58.630371507111136,54.0,0.01910452499461445,0.03852084490753863,0.03553328269027994,0.1425809816437828,0.25909590811687205,0.20139117223551287,0.07083980543997097,0.05974557534665926,0.10581185727729339,0.0673760473474756,0.4381965781924965
236,Other,Aglais urticae,0.1181235,2834964,24000000,0.4962366931439292,0.8363845120118639,0.5826741834239972,0.6303362560908353,3,255,56.33528961919799,63.37191271586538,24.0,0,255,34.13407754031444,42.000823356111944,18.0,0,255,26.879395293908495,43.280928860738086,14.0,0.011498558711856658,0.04019557214835885,0.012809333734043889,0.11750202118968707,0.11635491667619059,0.21119774360450433,0.06889399653752216,0.08904134232392369,0.2563669238833368,0.07613959119057596,0.07750645158104301
